elapsed_s,pid,raw,bytes
0.800,2210A8,"6210A800",0x00(0)
0.874,2210B0,"6210B028",0x28(40)
1.163,2210B9,"6210B916",0x16(22)
2.163,223050,"7F2231",ERR
2.281,2210D2,"6210D23A",0x3A(58)
3.641,2210A8,"6210A84C",0x4C(76)
3.958,2210B0,"6210B028",0x28(40)
4.039,2210B9,"6210B916",0x16(22)
5.254,2210A8,"6210A800",0x00(0)
5.327,2210B0,"6210B028",0x28(40)
5.382,2210B9,"6210B916",0x16(22)
5.760,2210B1,"6210B100",0x00(0)
6.030,2210C1,"6210C12E",0x2E(46)
6.117,2210B4,"6210B432",0x32(50)
7.168,2210A8,"6210A800",0x00(0)
7.213,2210B0,"6210B028",0x28(40)
7.304,2210B9,"6210B915",0x15(21)
8.333,223050,"7F2231",ERR
8.900,2210D2,"",ERR
10.118,2210A8,"6210A84C",0x4C(76)
10.164,2210B0,"6210B028",0x28(40)
10.216,2210B9,"6210B915",0x15(21)
11.728,2210A8,"6210A84B",0x4B(75)
11.782,2210B0,"6210B028",0x28(40)
11.839,2210B9,"6210B915",0x15(21)
12.296,2210B1,"6210B100",0x00(0)
12.351,2210C1,"6210C12E",0x2E(46)
12.501,2210B4,"6210B432",0x32(50)
13.631,2210A8,"6210A800",0x00(0)
13.705,2210B0,"6210B028",0x28(40)
13.761,2210B9,"6210B916",0x16(22)
14.824,223050,"7F2231",ERR
14.935,2210D2,"6210D23A",0x3A(58)
15.862,2210A8,"6210A800",0x00(0)
15.919,2210B0,"6210B028",0x28(40)
15.963,2210B9,"6210B916",0x16(22)
17.954,2210A8,"OK",ERR
17.981,2210B0,"6210A84CSTOPPED",ERR
18.028,2210B9,"6210B916",0x16(22)
19.519,2210A8,"6210A84B",0x4B(75)
19.572,2210B0,"6210B028",0x28(40)
19.618,2210B9,"6210B916",0x16(22)
19.671,2210B1,"6210B100",0x00(0)
19.722,2210C1,"6210C12C",0x2C(44)
19.784,2210B4,"6210B432",0x32(50)
21.360,2210A8,"6210A84B",0x4B(75)
21.471,2210B0,"6210B028",0x28(40)
21.522,2210B9,"6210B915",0x15(21)
21.923,223050,"7F2231",ERR
22.356,2210D2,"6210D23A",0x3A(58)
23.628,2210A8,"6210A800",0x00(0)
23.683,2210B0,"6210B028",0x28(40)
23.743,2210B9,"6210B914",0x14(20)
25.309,2210A8,"6210A800",0x00(0)
25.367,2210B0,"6210B028",0x28(40)
25.418,2210B9,"6210B915",0x15(21)
25.675,2210B1,"6210B100",0x00(0)
25.729,2210C1,"6210C135",0x35(53)
