elapsed_s,pid,raw,bytes
385.334,2210B0,"6210B027",0x27(39)
385.375,2210B1,"6210B100",0x00(0)
386.164,221022,"62102200",0x00(0)
386.213,2210A6,"6210A600",0x00(0)
386.263,2210A8,"6210A800",0x00(0)
386.318,22101F,"7F2231",ERR
386.366,2210B0,"6210B027",0x27(39)
386.730,223050,"7F2231",ERR
386.775,22309A,"7F2231",ERR
386.877,22104F,"62104F73",0x73(115)
387.596,221022,"62102200",0x00(0)
387.752,2210A6,"6210A600",0x00(0)
387.793,2210A8,"6210A844",0x44(68)
387.864,22101F,"7F2231",ERR
387.939,2210B0,"6210B027",0x27(39)
388.752,221022,"62102200",0x00(0)
388.806,2210A6,"6210A600",0x00(0)
388.863,2210A8,"6210A800",0x00(0)
388.921,22101F,"7F2231",ERR
388.981,2210B0,"6210B027",0x27(39)
389.171,2210B1,"6210B100",0x00(0)
389.954,221022,"62102200",0x00(0)
390.006,2210A6,"6210A600",0x00(0)
390.060,2210A8,"6210A800",0x00(0)
390.105,22101F,"7F2231",ERR
390.164,2210B0,"6210B027",0x27(39)
390.640,223050,"7F2231",ERR
390.684,22309A,"7F2231",ERR
390.768,22104F,"62104F73",0x73(115)
391.571,221022,"62102200",0x00(0)
391.617,2210A6,"6210A600",0x00(0)
391.671,2210A8,"6210A800",0x00(0)
391.723,22101F,"7F2231",ERR
391.775,2210B0,"6210B027",0x27(39)
392.538,221022,"62102200",0x00(0)
392.579,2210A6,"6210A600",0x00(0)
392.633,2210A8,"6210A800",0x00(0)
392.694,22101F,"7F2231",ERR
392.750,2210B0,"6210B027",0x27(39)
393.024,2210B1,"6210B100",0x00(0)
393.699,221022,"62102200",0x00(0)
393.745,2210A6,"6210A600",0x00(0)
393.796,2210A8,"6210A844",0x44(68)
393.850,22101F,"7F2231",ERR
393.900,2210B0,"6210B027",0x27(39)
394.480,223050,"7F2231",ERR
394.534,22309A,"7F2231",ERR
394.630,22104F,"62104F73",0x73(115)
395.235,221022,"62102200",0x00(0)
395.316,2210A6,"6210A600",0x00(0)
395.392,2210A8,"6210A844",0x44(68)
395.461,22101F,"7F2231",ERR
395.520,2210B0,"6210B027",0x27(39)
396.283,221022,"62102200",0x00(0)
396.332,2210A6,"6210A600",0x00(0)
396.384,2210A8,"6210A844",0x44(68)
396.449,22101F,"7F2231",ERR
396.504,2210B0,"6210B027",0x27(39)
397.521,221022,"62102200",0x00(0)
397.569,2210A6,"6210A600",0x00(0)
397.617,2210A8,"6210A800",0x00(0)
397.667,22101F,"7F2231",ERR
397.714,2210B0,"6210B027",0x27(39)
397.757,2210B1,"6210B100",0x00(0)
398.446,221022,"62102200",0x00(0)
398.490,2210A6,"6210A600",0x00(0)
398.540,2210A8,"6210A800",0x00(0)
398.588,22101F,"7F2231",ERR
398.655,2210B0,"6210B027",0x27(39)
399.188,223050,"7F2231",ERR
399.232,22309A,"7F2231",ERR
399.311,22104F,"62104F73",0x73(115)
400.067,221022,"62102200",0x00(0)
400.119,2210A6,"6210A600",0x00(0)
400.169,2210A8,"6210A844",0x44(68)
400.220,22101F,"7F2231",ERR
400.272,2210B0,"6210B027",0x27(39)
401.069,221022,"62102200",0x00(0)
401.118,2210A6,"6210A600",0x00(0)
401.176,2210A8,"6210A844",0x44(68)
401.219,22101F,"7F2231",ERR
401.263,2210B0,"6210B027",0x27(39)
401.444,2210B1,"6210B100",0x00(0)
402.078,221022,"62102200",0x00(0)
402.125,2210A6,"6210A600",0x00(0)
402.173,2210A8,"6210A844",0x44(68)
402.224,22101F,"7F2231",ERR
402.268,2210B0,"6210B027",0x27(39)
403.072,223050,"7F2231",ERR
403.132,22309A,"7F2231",ERR
403.219,22104F,"62104F73",0x73(115)
403.849,221022,"62102200",0x00(0)
403.901,2210A6,"6210A600",0x00(0)
403.944,2210A8,"6210A800",0x00(0)
403.991,22101F,"7F2231",ERR
404.045,2210B0,"6210B027",0x27(39)
404.931,221022,"62102200",0x00(0)
404.978,2210A6,"6210A600",0x00(0)
405.022,2210A8,"6210A800",0x00(0)
405.074,22101F,"7F2231",ERR
405.122,2210B0,"6210B027",0x27(39)
405.390,2210B1,"6210B100",0x00(0)
405.902,221022,"62102200",0x00(0)
405.943,2210A6,"6210A600",0x00(0)
406.002,2210A8,"6210A844",0x44(68)
406.050,22101F,"7F2231",ERR
406.100,2210B0,"6210B027",0x27(39)
406.775,223050,"7F2231",ERR
406.825,22309A,"7F2231",ERR
406.925,22104F,"62104F73",0x73(115)
407.509,221022,"62102200",0x00(0)
407.576,2210A6,"6210A600",0x00(0)
407.619,2210A8,"6210A800",0x00(0)
407.670,22101F,"7F2231",ERR
407.718,2210B0,"6210B027",0x27(39)
408.635,221022,"62102200",0x00(0)
408.681,2210A6,"6210A600",0x00(0)
408.740,2210A8,"6210A800",0x00(0)
408.805,22101F,"7F2231",ERR
408.883,2210B0,"6210B027",0x27(39)
409.641,221022,"62102200",0x00(0)
409.689,2210A6,"6210A600",0x00(0)
409.737,2210A8,"6210A800",0x00(0)
409.785,22101F,"7F2231",ERR
409.829,2210B0,"6210B027",0x27(39)
409.881,2210B1,"6210B100",0x00(0)
410.740,221022,"62102200",0x00(0)
410.788,2210A6,"6210A600",0x00(0)
410.843,2210A8,"6210A800",0x00(0)
410.895,22101F,"7F2231",ERR
410.945,2210B0,"6210B027",0x27(39)
411.329,223050,"7F2231",ERR
411.372,22309A,"7F2231",ERR
411.471,22104F,"62104F73",0x73(115)
412.331,221022,"62102200",0x00(0)
412.377,2210A6,"6210A600",0x00(0)
412.428,2210A8,"6210A800",0x00(0)
412.478,22101F,"7F2231",ERR
412.526,2210B0,"6210B027",0x27(39)
413.262,221022,"62102200",0x00(0)
413.311,2210A6,"6210A600",0x00(0)
413.361,2210A8,"6210A844",0x44(68)
413.408,22101F,"7F2231",ERR
413.460,2210B0,"6210B027",0x27(39)
413.639,2210B1,"6210B100",0x00(0)
414.585,221022,"62102200",0x00(0)
414.657,2210A6,"6210A600",0x00(0)
414.718,2210A8,"6210A800",0x00(0)
414.771,22101F,"7F2231",ERR
414.827,2210B0,"6210B027",0x27(39)
415.368,223050,"7F2231",ERR
415.420,22309A,"7F2231",ERR
415.502,22104F,"62104F73",0x73(115)
416.304,221022,"62102200",0x00(0)
416.353,2210A6,"6210A600",0x00(0)
416.401,2210A8,"6210A800",0x00(0)
416.445,22101F,"7F2231",ERR
416.493,2210B0,"6210B027",0x27(39)
417.257,221022,"62102200",0x00(0)
417.306,2210A6,"6210A600",0x00(0)
417.356,2210A8,"6210A845",0x45(69)
417.499,22101F,"7F2231",ERR
417.575,2210B0,"6210B027",0x27(39)
417.898,2210B1,"6210B100",0x00(0)
418.435,221022,"62102200",0x00(0)
418.489,2210A6,"6210A600",0x00(0)
418.541,2210A8,"6210A843",0x43(67)
418.594,22101F,"7F2231",ERR
418.648,2210B0,"6210B027",0x27(39)
419.444,223050,"7F2231",ERR
419.493,22309A,"7F2231",ERR
419.591,22104F,"62104F73",0x73(115)
420.426,221022,"62102200",0x00(0)
420.481,2210A6,"6210A600",0x00(0)
420.546,2210A8,"6210A800",0x00(0)
420.604,22101F,"7F2231",ERR
420.663,2210B0,"6210B027",0x27(39)
421.503,221022,"62102200",0x00(0)
421.551,2210A6,"6210A600",0x00(0)
421.600,2210A8,"6210A800",0x00(0)
421.657,22101F,"7F2231",ERR
421.702,2210B0,"6210B027",0x27(39)
422.398,221022,"62102200",0x00(0)
422.448,2210A6,"6210A600",0x00(0)
422.494,2210A8,"6210A800",0x00(0)
422.557,22101F,"7F2231",ERR
422.615,2210B0,"6210B027",0x27(39)
422.660,2210B1,"6210B100",0x00(0)
423.500,221022,"62102200",0x00(0)
423.545,2210A6,"6210A600",0x00(0)
423.606,2210A8,"6210A800",0x00(0)
423.647,22101F,"7F2231",ERR
423.710,2210B0,"6210B027",0x27(39)
424.079,223050,"7F2231",ERR
424.130,22309A,"7F2231",ERR
424.216,22104F,"62104F73",0x73(115)
425.031,221022,"62102200",0x00(0)
425.107,2210A6,"6210A600",0x00(0)
425.182,2210A8,"6210A800",0x00(0)
425.251,22101F,"7F2231",ERR
425.330,2210B0,"6210B027",0x27(39)
426.256,221022,"62102200",0x00(0)
426.319,2210A6,"6210A600",0x00(0)
426.374,2210A8,"6210A800",0x00(0)
426.445,22101F,"7F2231",ERR
426.493,2210B0,"6210B027",0x27(39)
426.806,2210B1,"6210B100",0x00(0)
427.526,221022,"62102200",0x00(0)
427.575,2210A6,"6210A600",0x00(0)
