elapsed_s,pid,raw,bytes
1.361,2210A8,"6210A800",0x00(0)
1.498,2210B0,"6210B027",0x27(39)
1.598,2210B9,"6210B916",0x16(22)
2.277,2210D2,"6210D261",0x61(97)
2.385,221093,"62109306",0x06(6)
2.441,221095,"62109521",0x21(33)
3.655,2210A8,"6210A84B",0x4B(75)
3.712,2210B0,"6210B027",0x27(39)
3.854,2210B9,"6210B916",0x16(22)
5.305,2210A8,"6210A800",0x00(0)
5.388,2210B0,"6210B027",0x27(39)
5.453,2210B9,"6210B916",0x16(22)
5.878,2210B1,"6210B100",0x00(0)
5.964,2210C1,"6210C12E",0x2E(46)
6.065,2210B4,"6210B431",0x31(49)
7.019,2210A8,"6210A800",0x00(0)
7.064,2210B0,"6210B027",0x27(39)
7.119,2210B9,"6210B915",0x15(21)
7.871,2210D2,"6210D262",0x62(98)
7.921,221093,"62109306",0x06(6)
7.976,221095,"62109521",0x21(33)
8.951,2210A8,"6210A84C",0x4C(76)
9.004,2210B0,"6210B028",0x28(40)
9.051,2210B9,"6210B916",0x16(22)
10.084,2210A8,"6210A800",0x00(0)
10.301,2210B0,"6210B027",0x27(39)
10.438,2210B9,"6210B915",0x15(21)
10.897,2210B1,"6210B100",0x00(0)
11.039,2210C1,"6210C12E",0x2E(46)
11.540,2210B4,"6210B432",0x32(50)
12.144,2210A8,"6210A800",0x00(0)
12.188,2210B0,"6210B027",0x27(39)
12.243,2210B9,"6210B915",0x15(21)
13.090,2210D2,"6210D262",0x62(98)
13.145,221093,"62109304",0x04(4)
13.255,221095,"62109520",0x20(32)
15.296,2210A8,"41077B",ERR
15.399,2210B0,"OK",ERR
15.623,2210B9,"6210A800",0x00(0)
17.109,2210A8,"OK",ERR
17.488,2210B0,"6210B027",0x27(39)
17.812,2210B9,"6210B915",0x15(21)
19.663,2210A8,"OK",ERR
19.696,2210B0,"6210A800STOPPED",ERR
19.924,2210B9,"6210B916",0x16(22)
20.116,2210B1,"6210B100",0x00(0)
20.337,2210C1,"6210C12E",0x2E(46)
20.463,2210B4,"6210B431",0x31(49)
22.267,2210A8,"6210A84B",0x4B(75)
22.661,2210B0,"6210B027",0x27(39)
22.723,2210B9,"6210B916",0x16(22)
23.727,2210D2,"6210D263",0x63(99)
23.877,221093,"62109300",0x00(0)
24.254,221095,"62109520",0x20(32)
26.275,2210A8,"OK",ERR
26.415,2210B0,"6210A800",0x00(0)
26.584,2210B9,"6210B028",0x28(40)
28.528,2210A8,"OK",ERR
28.606,2210B0,"6210A84BSTOPPED",ERR
29.026,2210B9,"6210B915",0x15(21)
29.798,2210B1,"6210B100",0x00(0)
30.212,2210C1,"6210C12E",0x2E(46)
30.276,2210B4,"6210B431",0x31(49)
32.005,2210A8,"6210A84B",0x4B(75)
32.327,2210B0,"6210B027",0x27(39)
32.421,2210B9,"6210B915",0x15(21)
33.978,2210D2,"",ERR
34.085,221093,"OK",ERR
34.337,221095,"62109300",0x00(0)
36.172,2210A8,"6210A84B",0x4B(75)
36.247,2210B0,"6210B027",0x27(39)
36.747,2210B9,"",ERR
38.336,2210A8,"6210A84A",0x4A(74)
