elapsed_s,pid,raw,bytes
1.157,2210A8,"6210A800",0x00(0)
1.217,2210B0,"6210B027",0x27(39)
1.276,2210B9,"6210B915",0x15(21)
1.974,223050,"7F2231",ERR
2.073,2210D2,"6210D250",0x50(80)
4.074,2210A8,"410784",ERR
4.138,2210B0,"OK",ERR
4.207,2210B9,"6210A800",0x00(0)
6.162,2210A8,"41066D",ERR
6.233,2210B0,"410784",ERR
6.313,2210B9,"OK",ERR
6.530,2210B1,"410C17CC",0xCC(204)
6.601,2210C1,"410D00",ERR
6.633,2210B4,"OK",ERR
7.040,2210A8,"6210A84A",0x4A(74)
7.097,2210B0,"6210B027",0x27(39)
7.151,2210B9,"6210B916",0x16(22)
7.914,223050,"7F2231",ERR
8.023,2210D2,"6210D250",0x50(80)
8.980,2210A8,"6210A84A",0x4A(74)
9.034,2210B0,"6210B027",0x27(39)
9.087,2210B9,"6210B916",0x16(22)
10.290,2210A8,"6210A800",0x00(0)
10.447,2210B0,"6210B027",0x27(39)
10.493,2210B9,"6210B916",0x16(22)
10.836,2210B1,"6210B100",0x00(0)
10.884,2210C1,"6210C12F",0x2F(47)
10.939,2210B4,"6210B431",0x31(49)
12.425,2210A8,"OK",ERR
12.497,2210B0,"6210A84B",0x4B(75)
12.780,2210B9,"6210B027",0x27(39)
14.469,223050,"OK",ERR
14.645,2210D2,"OK",ERR
15.643,2210A8,"?",ERR
15.660,2210B0,"6210A800STOPPED",ERR
15.782,2210B9,"6210B915",0x15(21)
17.487,2210A8,"STOPPED",ERR
17.492,2210B0,"",ERR
17.557,2210B9,"6210A800",0x00(0)
19.197,2210A8,"",ERR
19.295,2210B0,"OK",ERR
19.470,2210B9,"6210A800",0x00(0)
19.471,2210B1,"6210B027",0x27(39)
19.473,2210C1,"6210B915",0x15(21)
19.491,2210B4,"6210B100STOPPED",ERR
21.307,2210A8,"OK",ERR
21.365,2210B0,"6210B027",0x27(39)
21.416,2210B9,"6210B915",0x15(21)
22.063,223050,"7F2231",ERR
22.205,2210D2,"6210D250",0x50(80)
23.941,2210A8,"6210A84A",0x4A(74)
23.993,2210B0,"6210B027",0x27(39)
24.037,2210B9,"6210B916",0x16(22)
25.236,2210A8,"6210A84A",0x4A(74)
25.738,2210B0,"6210B0",ERR
26.153,2210B9,"27",ERR
26.576,2210B1,"6210B100",0x00(0)
27.049,2210C1,"6210C12F",0x2F(47)
27.166,2210B4,"6210B431",0x31(49)
29.089,2210A8,"6210A800",0x00(0)
29.141,2210B0,"6210B027",0x27(39)
29.228,2210B9,"6210B915",0x15(21)
30.605,223050,"OK",ERR
30.765,2210D2,"NO DATA",ERR
31.868,2210A8,"?",ERR
31.885,2210B0,"STOPPED",ERR
31.893,2210B9,"",ERR
32.597,2210A8,"410784",ERR
32.619,2210B0,"6210A84ASTOPPED",ERR
32.620,2210B9,"",ERR
32.925,2210B1,"6210B100",0x00(0)
33.007,2210C1,"6210C12F",0x2F(47)
33.055,2210B4,"6210B431",0x31(49)
33.903,2210A8,"6210A800",0x00(0)
33.988,2210B0,"6210B027",0x27(39)
34.259,2210B9,"6210B915",0x15(21)
35.451,223050,"7F2231",ERR
35.551,2210D2,"6210D250",0x50(80)
36.648,2210A8,"6210A800",0x00(0)
36.714,2210B0,"6210B027",0x27(39)
36.772,2210B9,"6210B915",0x15(21)
38.145,2210A8,"6210A800",0x00(0)
