elapsed_s,pid,raw,bytes
0.923,2210A8,"6210A840",0x40(64)
1.093,2210B0,"6210B026",0x26(38)
1.215,2210B9,"6210B915",0x15(21)
1.699,2210D2,"6210D284",0x84(132)
1.755,221093,"62109300",0x00(0)
1.819,221095,"62109500",0x00(0)
2.730,2210A8,"6210A841",0x41(65)
2.797,2210B0,"6210B027",0x27(39)
3.173,2210B9,"6210B915",0x15(21)
4.221,2210A8,"6210A840",0x40(64)
4.265,2210B0,"6210B026",0x26(38)
4.327,2210B9,"6210B915",0x15(21)
4.863,2210B1,"6210B100",0x00(0)
5.007,2210C1,"6210C130",0x30(48)
5.063,2210B4,"6210B41D",0x1D(29)
5.767,2210A8,"6210A840",0x40(64)
5.834,2210B0,"6210B026",0x26(38)
5.889,2210B9,"6210B915",0x15(21)
6.387,2210D2,"6210D284",0x84(132)
6.439,221093,"62109300",0x00(0)
6.500,221095,"62109500",0x00(0)
7.384,2210A8,"6210A800",0x00(0)
7.432,2210B0,"6210B026",0x26(38)
7.489,2210B9,"6210B915",0x15(21)
8.957,2210A8,"6210A800",0x00(0)
9.319,2210B0,"6210B027",0x27(39)
9.407,2210B9,"6210B915",0x15(21)
10.567,2210B1,"OK",ERR
10.625,2210C1,"6210B100",0x00(0)
10.720,2210B4,"6210C130",0x30(48)
11.378,2210A8,"6210A800",0x00(0)
11.439,2210B0,"6210B026",0x26(38)
11.490,2210B9,"6210B913",0x13(19)
12.453,2210D2,"6210D284",0x84(132)
12.497,221093,"62109300",0x00(0)
12.552,221095,"62109500",0x00(0)
